year,type,n_rides,n_parks
1920,wood,7,4
1921,wood,8,5
1922,wood,8,5
1923,wood,9,6
1924,wood,12,8
1925,wood,12,8
1926,wood,12,8
1927,wood,14,9
1928,wood,15,9
1929,wood,15,9
1930,wood,15,9
1931,wood,15,9
1932,wood,15,9
1933,wood,15,9
1934,wood,12,8
1935,wood,12,8
1936,wood,12,9
1937,wood,12,9
1938,wood,12,9
1939,wood,12,9
1940,wood,12,9
1941,wood,12,10
1942,wood,12,10
1943,wood,12,10
1944,wood,12,10
1945,wood,12,10
1946,wood,12,10
1947,wood,12,10
1948,wood,12,10
1949,wood,12,10
1950,wood,12,10
1951,wood,13,11
1952,steel,1,1
1952,wood,12,10
1953,steel,1,1
1953,wood,12,10
1954,steel,2,2
1954,wood,12,10
1955,steel,2,2
1955,wood,12,10
1956,steel,2,2
1956,wood,13,11
1957,steel,2,2
1957,wood,13,11
1958,steel,2,2
1958,wood,13,11
1959,steel,3,2
1959,wood,13,11
1960,steel,3,2
1960,wood,13,11
1961,steel,4,3
1961,wood,13,11
1962,steel,4,3
1962,wood,14,12
1963,steel,4,3
1963,wood,14,12
1964,steel,4,3
1964,wood,15,12
1965,steel,1,1
1965,wood,16,12
1966,steel,2,2
1966,wood,16,12
1967,steel,4,4
1967,wood,16,12
1968,steel,5,5
1968,wood,16,12
1969,steel,8,6
1969,wood,16,12
1970,steel,10,7
1970,wood,15,12
1971,steel,15,9
1971,wood,15,12
1972,steel,19,11
1972,wood,16,13
1973,steel,22,13
1973,wood,18,14
1974,steel,26,14
1974,wood,19,15
1975,steel,30,17
1975,wood,21,16
1976,steel,47,22
1976,wood,24,18
1977,steel,54,24
1977,wood,24,18
1978,steel,62,25
1978,wood,26,20
1979,steel,61,26
1979,wood,28,21
1980,steel,64,26
1980,wood,29,22
1981,steel,65,27
1981,wood,30,23
1982,steel,66,27
1982,wood,31,23
1983,steel,67,27
1983,wood,32,23
1984,steel,69,29
1984,wood,32,23
1985,steel,71,29
1985,wood,33,24
1986,steel,75,31
1986,wood,35,26
1987,steel,77,32
1987,wood,35,26
1988,steel,78,32
1988,wood,36,27
1989,steel,77,32
1989,wood,38,28
1990,steel,82,33
1990,wood,41,30
1991,steel,88,35
1991,wood,44,31
1992,steel,94,37
1992,wood,45,32
1993,steel,101,40
1993,wood,46,32
1994,steel,106,40
1994,wood,50,34
1995,steel,114,41
1995,wood,54,37
1996,steel,123,41
1996,wood,57,39
1997,steel,136,43
1997,wood,58,39
1998,steel,153,46
1998,wood,62,41
1999,steel,177,48
1999,wood,66,43
2000,steel,191,49
2000,wood,70,43
2001,steel,204,49
2001,wood,72,44
2002,steel,211,50
2002,wood,73,44
2003,steel,221,51
2003,wood,73,44
2004,steel,233,53
2004,wood,74,46
2005,steel,239,53
2005,wood,75,46
2006,steel,244,54
2006,wood,78,47
2007,steel,250,55
2007,wood,78,47
2008,steel,258,55
2008,wood,80,47
2009,steel,261,56
2009,wood,82,47
2010,steel,262,56
2010,wood,81,47
2011,steel,273,58
2011,wood,81,47
2012,steel,279,59
2012,wood,81,47
2013,steel,282,61
2013,wood,84,48
2014,steel,288,61
2014,wood,84,48
2015,steel,296,62
2015,wood,82,48
2016,steel,304,63
2016,wood,78,46
2017,steel,311,64
2017,wood,80,48
2018,steel,318,64
2018,wood,80,49
2019,steel,329,65
2019,wood,81,49
2020,steel,329,65
2020,wood,82,50
2021,steel,336,66
2021,wood,81,49
2022,steel,345,67
2022,wood,81,49
2023,steel,355,67
2023,wood,81,49
